,,,Where was the study conducted/cohort recruited?,,,,,,,,,When was the study conducted and reported?,,,
X,A0_S,A0_C,B0_country,#siteLocation,B1_siteCat,B1_setting,B0_region,B0_income,B2_endem,B2_species1,B2_species2,B3_studyStart,B4_studyEnd,B5_reportDate,B5_reportMeans
X01190,S119,S119C1,Zimbabwe,"school in Magaya, Mashonaland Province (31.90 E, 17.63 S)",school,rural,Eastern Africa,low,6,haematobium,mansoni [absent],unknown,unknown,6/5/2011,journal article
X01370,S137,S137C1,Uganda,"Musoli village, Mayuge district, (Lake Victoria)",other,rural,Eastern Africa,low,8*,mansoni,N/A,unknown,unknown,15/05/2011,journal article
X01460,S146,S146C1,Senegal,"2 villages: Nder and Temeye, Lac de Guier",other,rural,Western Africa,lower middle,9,haematobium,mansoni,15/04/2007,15/06/2008,26/09/2012,journal article
X01461,S146,S146C2,Senegal,"Guia village, Senegal River Basin",other,rural,Western Africa,lower middle,9,haematobium,mansoni [absent],15/05/2008,15/01/2010,26/09/2012,journal article
X01480,S148,S148C1,Cameroon,"schools in Bessoum and Ouro Doukoudje, Lagdo area, North region",school,rural,Middle Africa,lower middle,9,haematobium,mansoni,15/10/2007,15/10/2008,20/06/2013,journal article
X01481,S148,S148C2,Cameroon,"schools in Makenene, Centre region",school,semi-urban,Middle Africa,lower middle,4,mansoni,N/A,15/10/2007,15/10/2008,20/06/2013,journal article
X01560,S156,S156C1,Mauritania,"Toungene village, Rosso department, Trarza region",other,rural,Western Africa,lower middle,3,haematobium,N/A,15/11/2006,15/11/2006,17/05/2013,journal article
X01620,S162,S162C1,Ethiopia,Dulshatalo village,other,rural,Eastern Africa,low,5,haematobium,N/A,15/10/2007,15/12/2007,30/09/2013,journal article
X01800,S180,S180C1,Niger,"2 villages: Ndounga (13.21 N, 2.15 E) and Zamakoira (13.42 N, 1.43 E), Kollo department, Tillaberi region",other,rural,Western Africa,low,8,haematobium,mansoni [absent],15/03/2010,15/05/2010,10/12/2012,journal article
X01801,S180,S180C2,Niger,"Bonfeda (14.22 N, 12.43 E), Tillaberi region",other,rural,Western Africa,low,6,haematobium,mansoni,15/03/2010,15/05/2010,10/12/2012,journal article
X02050,S205,S205C1,Zimbabwe,"2 villages: Magaya (17.37 S, 31.54 E) and Chitate, Mashonaland Province",other,rural,Eastern Africa,low,4,haematobium,mansoni,unknown,unknown,15/06/2012,journal article
X02220,S222,S222C1,Nigeria,"6 villages: Apojola, Igbole, Lopokoredi, Akande, Sasa and Ogbere villages, in Odeda and Ijebu-East local government areas, Ogun state",other,rural,Western Africa,lower middle,4,haematobium,N/A,unknown,unknown,3/1/2012,journal article
X02370,S237,S237C1,Zimbabwe,"2 villages: Magaya (17.37 S, 31.54 E); Chipinda (17.41 S, 31.56 E)",other,rural,Eastern Africa,low,4,haematobium,mansoni,unknown,unknown,8/11/2012,journal article
X02880,S288,S288C1,China,"Xuguang village, Dantu District of Zhenjiang City, Jiangsu Province",other,rural,Eastern Asia,upper middle,0,japonicum,N/A,15/11/2007,15/02/2008,15/05/2012,journal article
X02881,S288,S288C2,China,"Sanshan village, Jiangpu District of Nanjing City, Jiangsu Province",other,rural,Eastern Asia,upper middle,0,japonicum,N/A,15/11/2007,15/02/2008,15/05/2012,journal article
